Country/Territory,Region,Status,PR rating,CL rating,PR,CL,Total
Comoros,Africa,PF,4,4,21,29,50
Hong Kong,Asia,PF,5,2,16,45,61
North Korea,Asia,NF,7,7,0,3,3
Bosnia and Herzegovina,Europe,PF,4,3,23,37,60
Burkina Faso,Africa,PF,4,4,23,33,56
North Korea,Asia,NF,7,7,0,3,3
Taiwan,Asia,F,1,1,38,56,94
Seychelles,Africa,PF,3,3,29,43,72
Nigeria,Africa,PF,4,4,20,26,46
Kazakhstan,Eurasia,NF,6,5,6,19,25
Tunisia,Africa,F,2,3,31,38,69
Jamaica,Americas,F,2,3,33,40,73
South Ossetia,Eurasia,NF,7,6,2,8,10
Israel,Middle East,F,1,2,36,44,80
Chad,Africa,NF,7,6,3,14,17
Rwanda,Africa,NF,6,6,9,16,25
Papua New Guinea,Asia,PF,4,3,23,39,62
Costa Rica,Americas,F,1,1,37,53,90
Afghanistan,Asia,NF,5,6,13,14,27
Spain,Europe,F,1,1,39,55,94
Uganda,Africa,NF,6,5,11,23,34
Qatar,Middle East,NF,6,5,10,18,28
Tunisia,Africa,F,2,3,32,39,71
Jamaica,Americas,F,2,2,34,46,80
Switzerland,Europe,F,1,1,39,57,96
Niger,Africa,PF,4,4,23,28,51
Bolivia,Americas,PF,3,3,29,39,68
Pakistan,Asia,PF,4,5,20,21,41
Trinidad and Tobago,Americas,F,2,2,33,48,81
Portugal,Europe,F,1,1,39,58,97
Kuwait,Middle East,PF,5,5,13,23,36
The Gambia,Africa,NF,6,6,8,12,20
Seychelles,Africa,PF,3,3,25,42,67
Zimbabwe,Africa,PF,5,5,12,20,32
Iceland,Europe,F,1,1,37,58,95
Micronesia,Asia,F,1,1,37,56,93
Slovenia,Europe,F,1,1,39,53,92
Somaliland,Africa,PF,4,5,18,24,42
Myanmar,Asia,NF,5,6,13,15,28
Vanuatu,Asia,F,2,2,32,48,80
Austria,Europe,F,1,1,38,58,96
Guinea,Africa,PF,5,5,17,24,41
Portugal,Europe,F,1,1,39,57,96
Nauru,Asia,F,1,2,37,51,88
Monaco,Europe,F,3,1,26,57,83
Switzerland,Europe,F,1,1,39,57,96
Bahamas,Americas,F,1,1,38,53,91
Eswatini,Africa,NF,7,6,1,15,16
Sri Lanka,Asia,PF,4,4,23,32,55
Dominica,Americas,F,1,1,37,56,93
Dominica,Americas,F,1,1,38,57,95
Nicaragua,Americas,PF,5,4,17,34,51
France,Europe,F,1,2,38,52,90
Denmark,Europe,F,1,1,40,57,97
Angola,Africa,NF,6,6,10,16,26
Pakistan,Asia,PF,5,5,15,22,37
Maldives,Asia,PF,4,5,19,21,40
Sudan,Africa,NF,7,7,2,4,6
Haiti,Americas,PF,5,5,17,24,41
Tanzania,Africa,PF,3,3,28,38,66
Pakistan,Asia,PF,5,5,16,22,38
Pakistani Kashmir,Asia,NF,6,5,9,20,29
Trinidad and Tobago,Americas,F,2,2,33,48,81
Malta,Europe,F,2,1,35,55,90
Bangladesh,Asia,PF,5,5,15,24,39
Kosovo,Europe,PF,3,4,24,30,54
Sri Lanka,Asia,PF,5,4,16,26,42
Mexico,Americas,PF,3,4,27,34,61
Lithuania,Europe,F,1,1,38,53,91
Syria,Middle East,NF,7,7,-3,2,-1
Ireland,Europe,F,1,1,39,58,97
Argentina,Americas,F,2,2,33,50,83
Turkmenistan,Eurasia,NF,7,7,0,2,2
San Marino,Europe,F,1,1,38,57,95
Malaysia,Asia,PF,4,4,18,27,45
Iran,Middle East,NF,6,6,7,10,17
Saudi Arabia,Middle East,NF,7,7,3,7,10
Saudi Arabia,Middle East,NF,7,7,3,7,10
Comoros,Africa,PF,3,4,25,30,55
Algeria,Africa,NF,6,5,10,22,32
South Korea,Asia,F,2,2,34,49,83
Czech Republic,Europe,F,1,1,36,55,91
Angola,Africa,NF,6,5,10,20,30
Bahrain,Middle East,NF,7,6,5,10,15
Nepal,Asia,PF,3,4,25,31,56
Belize,Americas,F,2,1,34,53,87
Barbados,Americas,F,1,1,40,58,98
Mozambique,Africa,PF,5,4,14,31,45
Canada,Americas,F,1,1,40,58,98
Ethiopia,Africa,NF,7,6,4,8,12
Sudan,Africa,NF,7,7,2,4,6
Brazil,Americas,F,2,2,33,48,81
Libya,Africa,NF,6,6,6,14,20
Algeria,Africa,NF,6,5,10,25,35
Gabon,Africa,NF,6,5,9,25,34
United Arab Emirates,Middle East,NF,6,6,7,13,20
Georgia,Eurasia,PF,4,3,23,37,60
Cameroon,Africa,NF,6,6,7,12,19
Cuba,Americas,NF,7,6,1,14,15
Lithuania,Europe,F,1,2,38,52,90
Finland,Europe,F,1,1,40,60,100
Samoa,Asia,F,2,2,32,49,81
Andorra,Europe,F,1,1,39,55,94
St. Vincent and the Grenadines,Americas,F,1,1,36,55,91
Tunisia,Africa,PF,3,4,26,33,59
Vanuatu,Asia,F,2,2,33,49,82
Mali,Africa,PF,5,4,17,27,44
Indian Kashmir,Asia,PF,4,4,22,28,50
Belgium,Europe,F,1,1,39,57,96
Sierra Leone,Africa,PF,3,3,28,38,66
Suriname,Americas,F,2,3,34,43,77
South Ossetia,Eurasia,NF,7,6,2,9,11
Georgia,Eurasia,PF,4,3,22,36,58
Brazil,Americas,F,2,3,31,42,73
Peru,Americas,F,2,3,30,42,72
Micronesia,Asia,F,1,1,37,55,92
Tanzania,Africa,PF,4,5,20,25,45
Slovakia,Europe,F,1,1,36,53,89
Ireland,Europe,F,1,1,39,58,97
Bahamas,Americas,F,1,1,38,58,96
Belarus,Eurasia,NF,7,6,4,13,17
Tajikistan,Eurasia,NF,6,6,8,16,24
Ethiopia,Africa,NF,6,6,7,11,18
Haiti,Americas,PF,4,5,19,24,43
St. Kitts and Nevis,Americas,F,1,1,38,53,91
Timor-Leste,Asia,PF,3,3,29,36,65
Samoa,Asia,F,2,2,30,51,81
El Salvador,Americas,F,2,3,35,42,77
Uganda,Africa,NF,6,5,11,24,35
Tonga,Asia,F,2,2,30,45,75
Turkey,Europe,NF,5,6,16,16,32
Venezuela,Americas,PF,5,5,13,22,35
Vanuatu,Asia,F,2,2,31,47,78
Georgia,Eurasia,PF,3,3,25,38,63
Chile,Americas,F,1,1,37,57,94
Sao Tome and Principe,Africa,F,2,2,35,49,84
Hong Kong,Asia,PF,6,4,10,33,43
Burkina Faso,Africa,PF,4,4,23,30,53
Indonesia,Asia,PF,2,4,30,34,64
Luxembourg,Europe,F,1,1,38,60,98
Kiribati,Asia,F,1,1,36,55,91
El Salvador,Americas,PF,3,4,26,33,59
Armenia,Eurasia,PF,4,4,20,31,51
Kenya,Africa,PF,4,4,19,29,48
Japan,Asia,F,1,1,40,56,96
Vietnam,Asia,NF,7,5,3,17,20
Argentina,Americas,F,2,2,35,49,84
St. Vincent and the Grenadines,Americas,F,1,1,36,55,91
Afghanistan,Asia,NF,6,6,10,14,24
Nauru,Asia,F,2,3,34,43,77
Czech Republic,Europe,F,1,1,36,55,91
Netherlands,Europe,F,1,1,40,59,99
Madagascar,Africa,PF,3,4,27,34,61
Pakistani Kashmir,Asia,NF,6,5,9,19,28
Cameroon,Africa,NF,6,6,9,15,24
Burundi,Africa,NF,7,6,4,10,14
Algeria,Africa,NF,6,5,10,22,32
Laos,Asia,NF,7,6,1,11,12
Albania,Europe,PF,3,3,24,39,63
Ireland,Europe,F,1,1,39,58,97
Somalia,Africa,NF,7,7,1,6,7
Denmark,Europe,F,1,1,40,57,97
Bahamas,Americas,F,1,1,38,54,92
Somalia,Africa,NF,7,7,0,5,5
Bosnia and Herzegovina,Europe,PF,3,3,24,37,61
Mozambique,Africa,PF,4,3,23,35,58
Liechtenstein,Europe,F,2,1,33,57,90
Bosnia and Herzegovina,Europe,PF,4,4,19,34,53
Bangladesh,Asia,PF,5,5,17,24,41
Senegal,Africa,F,2,2,33,45,78
Mauritania,Africa,PF,5,5,13,21,34
Serbia,Europe,F,2,2,31,49,80
Thailand,Asia,PF,6,4,6,26,32
Croatia,Europe,F,1,2,37,50,87
Bulgaria,Europe,F,2,2,33,47,80
Romania,Europe,F,2,2,34,49,83
Ethiopia,Africa,NF,5,6,12,11,23
Luxembourg,Europe,F,1,1,38,60,98
Kenya,Africa,PF,4,4,19,29,48
China,Asia,NF,7,6,-1,12,11
Grenada,Americas,F,1,2,37,52,89
Saudi Arabia,Middle East,NF,7,7,3,7,10
Romania,Europe,F,2,2,35,48,83
Qatar,Middle East,NF,6,5,9,18,27
Albania,Europe,PF,3,3,27,40,67
Armenia,Eurasia,PF,5,4,15,30,45
South Sudan,Africa,NF,6,5,11,20,31
Mali,Africa,NF,6,5,8,24,32
Cote d'Ivoire,Africa,PF,4,4,19,30,49
Namibia,Africa,F,2,2,31,46,77
Vietnam,Asia,NF,7,6,3,16,19
Eastern Donbas,Eurasia,NF,7,7,-1,5,4
Namibia,Africa,F,2,2,31,46,77
Ghana,Africa,F,2,2,35,45,80
Switzerland,Europe,F,1,1,39,57,96
Norway,Europe,F,1,1,40,60,100
Thailand,Asia,NF,7,5,5,24,29
Oman,Middle East,NF,6,5,6,18,24
Fiji,Asia,PF,3,3,24,35,59
South Korea,Asia,F,2,2,33,50,83
Nigeria,Africa,PF,4,5,20,23,43
India,Asia,PF,2,4,33,33,66
Congo (Kinshasa),Africa,NF,6,6,9,11,20
Transnistria,Eurasia,NF,6,6,10,14,24
Morocco,Africa,PF,5,5,13,24,37
Chile,Americas,F,1,1,39,56,95
Philippines,Asia,PF,3,3,27,35,62
Somaliland,Africa,PF,4,4,22,27,49
Comoros,Africa,PF,5,4,16,26,42
Bulgaria,Europe,F,2,2,34,46,80
Trinidad and Tobago,Americas,F,2,2,33,48,81
Benin,Africa,F,2,2,33,49,82
Denmark,Europe,F,1,1,40,58,98
Laos,Asia,NF,7,6,2,11,13
Suriname,Americas,F,2,3,34,43,77
Malaysia,Asia,PF,4,4,21,31,52
Laos,Asia,NF,7,6,1,11,12
Libya,Africa,NF,7,6,1,8,9
Bangladesh,Asia,PF,5,5,15,24,39
Guyana,Americas,F,2,3,30,43,73
Croatia,Europe,F,1,2,36,50,86
Chile,Americas,F,1,1,38,57,95
Thailand,Asia,NF,6,5,7,25,32
India,Asia,F,2,3,35,42,77
Somaliland,Africa,PF,4,5,21,25,46
Mauritius,Africa,F,1,2,38,52,90
Gabon,Africa,NF,6,5,9,25,34
North Korea,Asia,NF,7,7,0,3,3
Rwanda,Africa,NF,6,6,8,15,23
Switzerland,Europe,F,1,1,39,57,96
Brunei,Asia,NF,6,5,7,21,28
Saudi Arabia,Middle East,NF,7,7,3,7,10
Eritrea,Africa,NF,7,7,1,1,2
Hong Kong,Asia,PF,5,2,16,49,65
Moldova,Eurasia,PF,3,3,27,35,62
Denmark,Europe,F,1,1,40,58,98
Crimea,Eurasia,NF,7,6,-2,10,8
Congo (Brazzaville),Africa,NF,7,5,2,18,20
Lebanon,Middle East,PF,5,4,14,30,44
Western Sahara,Africa,NF,7,7,-2,7,5
Kosovo,Europe,PF,3,4,25,31,56
Central African Republic,Africa,NF,7,7,3,4,7
Guinea-Bissau,Africa,NF,6,5,7,23,30
Monaco,Europe,F,2,1,31,57,88
Burundi,Africa,NF,7,6,3,10,13
Italy,Europe,F,1,1,36,53,89
Madagascar,Africa,PF,3,4,24,32,56
Slovakia,Europe,F,1,1,37,54,91
Abkhazia,Eurasia,PF,5,5,17,23,40
Bangladesh,Asia,PF,4,4,21,29,50
Egypt,Africa,NF,6,5,9,17,26
Fiji,Asia,PF,3,4,25,34,59
Timor-Leste,Asia,PF,3,4,29,34,63
Indonesia,Asia,PF,2,4,30,29,59
Nicaragua,Americas,PF,4,3,19,35,54
Cyprus,Europe,F,1,1,38,56,94
Laos,Asia,NF,7,6,1,11,12
Zambia,Africa,PF,4,4,22,33,55
Panama,Americas,F,1,2,36,48,84
Ecuador,Americas,PF,3,3,24,35,59
Mozambique,Africa,PF,4,4,22,34,56
Bhutan,Asia,PF,3,4,28,27,55
Puerto Rico,Americas,F,1,2,37,52,89
Tuvalu,Asia,F,1,1,37,56,93
Tanzania,Africa,PF,3,3,29,35,64
Eritrea,Africa,NF,7,7,1,2,3
Tibet,Asia,NF,7,7,-2,3,1
Lithuania,Europe,F,1,2,38,51,89
Eswatini,Africa,NF,7,6,1,15,16
Tunisia,Africa,F,1,3,37,42,79
United Arab Emirates,Middle East,NF,7,6,5,12,17
Turkmenistan,Eurasia,NF,7,7,0,4,4
Finland,Europe,F,1,1,40,60,100
Bahrain,Middle East,NF,7,6,2,10,12
Uruguay,Americas,F,1,1,40,58,98
Angola,Africa,NF,6,6,10,14,24
Bahrain,Middle East,NF,7,6,2,10,12
Philippines,Asia,PF,3,4,25,30,55
Congo (Kinshasa),Africa,NF,7,6,4,15,19
Solomon Islands,Asia,F,2,2,30,49,79
Georgia,Eurasia,PF,3,3,26,38,64
Kuwait,Middle East,PF,5,5,13,23,36
Iraq,Middle East,NF,6,6,11,13,24
Paraguay,Americas,PF,3,3,27,38,65
Belgium,Europe,F,1,1,40,56,96
Armenia,Eurasia,PF,5,4,16,30,46
Cote d'Ivoire,Africa,PF,5,4,17,28,45
Marshall Islands,Asia,F,1,1,37,55,92
Australia,Asia,F,1,1,39,56,95
Cabo Verde,Africa,F,1,1,38,54,92
Iceland,Europe,F,1,1,37,57,94
Cuba,Americas,NF,7,6,1,12,13
Crimea,Eurasia,NF,7,6,-1,10,9
Syria,Middle East,NF,7,7,-3,4,1
Senegal,Africa,F,2,2,33,45,78
Grenada,Americas,F,1,2,37,51,88
Israel,Middle East,F,1,3,36,43,79
Serbia,Europe,F,2,2,30,48,78
Mexico,Americas,PF,3,3,28,37,65
Congo (Kinshasa),Africa,NF,7,6,4,14,18
Nepal,Asia,PF,4,4,20,27,47
United States,Americas,F,1,1,37,55,92
Morocco,Africa,PF,5,4,15,26,41
Montenegro,Europe,PF,3,3,25,42,67
Indian Kashmir,Asia,NF,6,5,8,20,28
Mali,Africa,PF,4,4,18,26,44
Mali,Africa,NF,7,5,5,19,24
Cabo Verde,Africa,F,1,1,37,53,90
Libya,Africa,NF,7,6,1,8,9
Mongolia,Asia,F,1,2,36,48,84
Sao Tome and Principe,Africa,F,2,2,34,47,81
Ghana,Africa,F,1,2,36,47,83
Chad,Africa,NF,7,6,5,16,21
Belarus,Eurasia,NF,7,6,4,10,14
Latvia,Europe,F,1,2,36,51,87
Turkmenistan,Eurasia,NF,7,7,0,4,4
Slovenia,Europe,F,1,1,39,56,95
Colombia,Americas,PF,3,3,29,37,66
St. Vincent and the Grenadines,Americas,F,1,1,36,54,90
Portugal,Europe,F,1,1,39,57,96
New Zealand,Asia,F,1,1,40,58,98
Sao Tome and Principe,Africa,F,2,2,34,49,83
Madagascar,Africa,PF,3,4,24,32,56
United Arab Emirates,Middle East,NF,7,6,5,12,17
Nigeria,Africa,PF,3,5,25,25,50
St. Lucia,Americas,F,1,1,39,53,92
Northern Cyprus,Europe,F,2,2,32,47,79
Belarus,Eurasia,NF,7,6,4,10,14
St. Kitts and Nevis,Americas,F,1,1,37,53,90
Guinea,Africa,PF,5,5,17,23,40
United Arab Emirates,Middle East,NF,6,6,7,13,20
Pakistani Kashmir,Asia,NF,6,5,9,20,29
Japan,Asia,F,1,1,37,53,90
West Bank,Middle East,NF,7,5,5,23,28
Portugal,Europe,F,1,1,39,58,97
South Sudan,Africa,NF,6,6,8,16,24
Transnistria,Eurasia,NF,6,6,10,14,24
Cyprus,Europe,F,1,1,38,56,94
Iceland,Europe,F,1,1,37,57,94
Namibia,Africa,F,2,2,30,47,77
Tibet,Asia,NF,7,7,-2,3,1
Nepal,Asia,PF,3,4,25,26,51
Costa Rica,Americas,F,1,1,38,53,91
Taiwan,Asia,F,1,2,37,51,88
Eritrea,Africa,NF,7,7,1,2,3
North Korea,Asia,NF,7,7,0,3,3
Kiribati,Asia,F,1,1,37,55,92
Kuwait,Middle East,PF,5,5,13,23,36
Oman,Middle East,NF,6,5,9,17,26
Tuvalu,Asia,F,1,1,37,56,93
South Korea,Asia,F,2,2,32,50,82
Iraq,Middle East,NF,5,6,17,14,31
Brunei,Asia,NF,6,5,7,23,30
Oman,Middle East,NF,6,5,6,17,23
Suriname,Americas,F,2,2,34,45,79
Timor-Leste,Asia,F,2,3,32,37,69
Equatorial Guinea,Africa,NF,7,7,1,6,7
United States,Americas,F,2,1,33,53,86
Sao Tome and Principe,Africa,F,2,2,34,47,81
El Salvador,Americas,PF,2,4,32,34,66
Monaco,Europe,F,2,1,31,57,88
Kiribati,Asia,F,1,1,36,55,91
Comoros,Africa,PF,3,4,25,30,55
Bosnia and Herzegovina,Europe,PF,4,4,19,34,53
St. Kitts and Nevis,Americas,F,2,1,35,54,89
Libya,Africa,NF,7,6,3,10,13
Comoros,Africa,PF,5,4,16,26,42
Iraq,Middle East,NF,5,6,17,15,32
Jordan,Middle East,NF,6,5,11,22,33
South Africa,Africa,F,2,2,33,46,79
Seychelles,Africa,PF,3,3,28,43,71
China,Asia,NF,7,6,0,14,14
United Kingdom,Europe,F,1,1,40,55,95
Rwanda,Africa,NF,6,6,8,16,24
Cuba,Americas,NF,7,6,1,14,15
Malaysia,Asia,PF,4,4,18,26,44
Ghana,Africa,F,1,2,37,46,83
Afghanistan,Asia,NF,6,6,11,13,24
Kosovo,Europe,PF,3,4,24,28,52
Jordan,Middle East,PF,5,5,12,25,37
Iceland,Europe,F,1,1,37,57,94
Vietnam,Asia,NF,7,5,3,17,20
Dominica,Americas,F,1,1,38,57,95
Netherlands,Europe,F,1,1,40,58,98
Panama,Americas,F,2,2,35,48,83
Burundi,Africa,NF,7,6,4,10,14
Spain,Europe,F,1,1,38,56,94
Spain,Europe,F,1,1,39,56,95
Hungary,Europe,F,1,2,36,52,88
Malawi,Africa,PF,3,3,26,37,63
South Sudan,Africa,NF,7,7,-3,4,1
Mauritania,Africa,NF,6,5,11,23,34
Russia,Eurasia,NF,7,6,5,15,20
Western Sahara,Africa,NF,7,7,-3,7,4
Congo (Kinshasa),Africa,NF,6,6,9,16,25
Guyana,Americas,F,2,3,32,42,74
Guatemala,Americas,PF,4,4,21,31,52
Mexico,Americas,PF,3,3,26,36,62
Djibouti,Africa,NF,6,5,7,19,26
Tuvalu,Asia,F,1,1,37,57,94
South Korea,Asia,F,2,2,33,50,83
Morocco,Africa,PF,5,5,14,25,39
Burkina Faso,Africa,PF,4,3,23,37,60
Brazil,Americas,F,2,3,31,43,74
Liechtenstein,Europe,F,2,1,33,57,90
Venezuela,Americas,PF,5,5,15,24,39
Hungary,Europe,F,1,2,36,52,88
Maldives,Asia,PF,5,5,17,23,40
Moldova,Eurasia,PF,3,3,28,35,63
Grenada,Americas,F,1,2,38,51,89
Guatemala,Americas,PF,3,4,24,32,56
Kyrgyzstan,Eurasia,PF,5,5,12,25,37
Slovenia,Europe,F,1,1,39,53,92
Belgium,Europe,F,1,1,40,55,95
Malaysia,Asia,PF,4,4,20,30,50
Tunisia,Africa,F,1,3,36,43,79
Qatar,Middle East,NF,6,5,7,18,25
Montenegro,Europe,PF,3,3,26,43,69
Nepal,Asia,PF,3,4,24,28,52
Dominican Republic,Americas,PF,3,3,26,41,67
Maldives,Asia,PF,5,5,14,21,35
Abkhazia,Eurasia,PF,4,5,18,23,41
United States,Americas,F,1,1,36,54,90
Austria,Europe,F,1,1,38,58,96
Kenya,Africa,PF,4,4,22,29,51
Cuba,Americas,NF,7,6,1,13,14
Myanmar,Asia,NF,6,5,9,17,26
St. Lucia,Americas,F,1,1,39,54,93
Azerbaijan,Eurasia,NF,7,6,3,9,12
Russia,Eurasia,NF,6,6,7,15,22
Luxembourg,Europe,F,1,1,38,60,98
Jamaica,Americas,F,2,2,34,44,78
Chad,Africa,NF,7,6,3,14,17
Egypt,Africa,NF,6,6,6,12,18
Haiti,Americas,NF,6,5,11,22,33
Malawi,Africa,PF,3,4,26,34,60
Brazil,Americas,F,2,2,31,44,75
Tibet,Asia,NF,7,7,-2,3,1
Suriname,Americas,F,2,2,34,45,79
Vietnam,Asia,NF,7,5,3,17,20
Tunisia,Africa,PF,3,3,27,36,63
Crimea,Eurasia,NF,7,6,-1,11,10
Sierra Leone,Africa,PF,3,3,28,37,65
Bhutan,Asia,PF,3,4,29,27,56
Sudan,Africa,NF,7,6,2,10,12
Fiji,Asia,PF,4,3,23,35,58
Congo (Brazzaville),Africa,NF,6,5,6,22,28
Central African Republic,Africa,NF,7,7,4,5,9
Pakistan,Asia,PF,4,5,20,22,42
Palau,Asia,F,1,1,37,55,92
Ghana,Africa,F,2,2,35,47,82
Norway,Europe,F,1,1,40,60,100
China,Asia,NF,7,6,-2,11,9
Serbia,Europe,F,2,2,30,48,78
Canada,Americas,F,1,1,40,59,99
France,Europe,F,1,1,38,57,95
Jordan,Middle East,NF,6,5,11,25,36
Pakistani Kashmir,Asia,NF,6,5,9,19,28
Azerbaijan,Eurasia,NF,6,6,6,16,22
Maldives,Asia,PF,5,5,14,21,35
Tunisia,Africa,PF,3,3,26,38,64
Indian Kashmir,Asia,PF,4,4,22,27,49
China,Asia,NF,7,6,-1,11,10
Singapore,Asia,PF,4,4,19,32,51
Cuba,Americas,NF,7,6,1,13,14
Niger,Africa,PF,4,4,20,29,49
Gabon,Africa,NF,6,5,9,25,34
Croatia,Europe,F,1,2,36,50,86
Lebanon,Middle East,PF,5,4,14,31,45
Belgium,Europe,F,1,1,40,57,97
Paraguay,Americas,PF,3,3,27,37,64
Vanuatu,Asia,F,2,2,33,49,82
Dominica,Americas,F,1,1,38,57,95
Ukraine,Eurasia,PF,3,4,26,34,60
Philippines,Asia,PF,3,3,26,37,63
Ukraine,Eurasia,PF,3,3,27,35,62
Mauritius,Africa,F,1,2,36,50,86
Yemen,Middle East,NF,7,6,1,10,11
South Korea,Asia,F,1,2,36,50,86
Niger,Africa,PF,4,4,20,29,49
The Gambia,Africa,PF,4,4,20,26,46
Sri Lanka,Asia,PF,5,4,16,27,43
Japan,Asia,F,1,1,40,56,96
Australia,Asia,F,1,1,40,58,98
South Ossetia,Eurasia,NF,7,6,1,9,10
Spain,Europe,F,1,1,39,57,96
Nagorno-Karabakh,Eurasia,PF,5,5,12,19,31
Hungary,Europe,PF,3,3,27,43,70
Benin,Africa,F,2,2,33,49,82
Greece,Europe,F,2,2,35,48,83
Azerbaijan,Eurasia,NF,7,7,2,7,9
Timor-Leste,Asia,F,2,3,33,39,72
Guyana,Americas,F,2,3,30,43,73
Belize,Americas,F,1,2,36,51,87
Peru,Americas,F,2,3,31,41,72
Thailand,Asia,NF,6,5,7,25,32
Uzbekistan,Eurasia,NF,7,7,0,4,4
Turkmenistan,Eurasia,NF,7,7,0,4,4
Fiji,Asia,PF,3,3,24,37,61
Latvia,Europe,F,2,2,33,51,84
Oman,Middle East,NF,6,5,9,17,26
Ethiopia,Africa,NF,6,6,7,12,19
Bahamas,Americas,F,1,1,38,53,91
Cameroon,Africa,NF,6,6,9,16,25
Sierra Leone,Africa,PF,3,3,28,37,65
Eritrea,Africa,NF,7,7,1,2,3
Barbados,Americas,F,1,1,40,59,99
Czech Republic,Europe,F,1,1,36,55,91
Namibia,Africa,F,2,2,31,46,77
Papua New Guinea,Asia,PF,4,3,23,36,59
Uzbekistan,Eurasia,NF,7,7,1,6,7
Kuwait,Middle East,PF,5,5,13,23,36
Kenya,Africa,PF,4,4,22,29,51
Sweden,Europe,F,1,1,40,60,100
Pakistani Kashmir,Asia,NF,6,5,9,19,28
Venezuela,Americas,PF,5,5,14,24,38
Nigeria,Africa,PF,3,5,25,25,50
United States,Americas,F,1,1,36,53,89
Senegal,Africa,F,2,2,32,46,78
Mexico,Americas,PF,3,3,28,36,64
Honduras,Americas,PF,4,4,19,27,46
Liberia,Africa,PF,3,4,27,33,60
Bosnia and Herzegovina,Europe,PF,4,4,19,34,53
Poland,Europe,F,2,2,34,48,82
Bhutan,Asia,PF,3,4,29,27,56
Equatorial Guinea,Africa,NF,7,7,1,7,8
Northern Cyprus,Europe,F,2,2,32,47,79
Nicaragua,Americas,NF,6,5,10,20,30
Azerbaijan,Eurasia,NF,7,6,2,8,10
Ecuador,Americas,PF,3,3,27,38,65
Argentina,Americas,F,2,2,35,49,84
Guinea-Bissau,Africa,PF,5,5,16,25,41
Taiwan,Asia,F,1,1,37,54,91
China,Asia,NF,7,6,2,15,17
St. Lucia,Americas,F,1,1,38,53,91
Mongolia,Asia,F,1,2,36,49,85
Kiribati,Asia,F,1,1,37,56,93
Spain,Europe,F,1,1,38,56,94
Bosnia and Herzegovina,Europe,PF,4,4,21,34,55
Croatia,Europe,F,1,2,37,50,87
Brunei,Asia,NF,6,5,7,23,30
Dominican Republic,Americas,PF,3,3,29,41,70
Germany,Europe,F,1,1,39,55,94
Cyprus,Europe,F,1,1,38,55,93
Seychelles,Africa,PF,3,3,28,43,71
Uzbekistan,Eurasia,NF,7,7,0,3,3
San Marino,Europe,F,1,1,38,55,93
Dominican Republic,Americas,PF,3,3,27,41,68
St. Kitts and Nevis,Americas,F,1,1,37,53,90
Zimbabwe,Africa,NF,6,6,11,14,25
Singapore,Asia,PF,4,4,19,32,51
Singapore,Asia,PF,4,4,19,31,50
Algeria,Africa,NF,6,5,11,23,34
Guyana,Americas,F,2,3,32,43,75
Somaliland,Africa,PF,5,5,15,25,40
Comoros,Africa,PF,3,4,24,31,55
Micronesia,Asia,F,1,1,37,56,93
Algeria,Africa,NF,6,5,11,24,35
Germany,Europe,F,1,1,39,55,94
Pakistani Kashmir,Asia,NF,6,5,9,19,28
Kosovo,Europe,PF,3,4,24,28,52
Guinea,Africa,PF,5,5,17,24,41
St. Kitts and Nevis,Americas,F,1,1,36,53,89
Kenya,Africa,PF,4,4,19,29,48
Algeria,Africa,NF,6,5,10,24,34
Nepal,Asia,PF,3,4,24,27,51
Congo (Brazzaville),Africa,NF,6,5,7,22,29
Taiwan,Asia,F,1,2,36,52,88
Liechtenstein,Europe,F,2,1,33,58,91
Slovakia,Europe,F,1,2,36,52,88
Micronesia,Asia,F,1,1,37,55,92
Cambodia,Asia,NF,6,5,11,20,31
Malta,Europe,F,2,1,35,56,91
Cuba,Americas,NF,7,6,1,10,11
Central African Republic,Africa,NF,7,7,4,6,10
Uzbekistan,Eurasia,NF,7,6,1,8,9
Mongolia,Asia,F,1,2,36,48,84
Bulgaria,Europe,F,2,2,33,47,80
South Africa,Africa,F,2,2,34,47,81
Angola,Africa,NF,6,5,11,20,31
Sierra Leone,Africa,PF,3,3,28,37,65
Estonia,Europe,F,1,1,38,56,94
Brunei,Asia,NF,6,5,7,22,29
Laos,Asia,NF,7,6,1,11,12
Turkmenistan,Eurasia,NF,7,7,0,2,2
Burkina Faso,Africa,PF,4,3,23,37,60
Cyprus,Europe,F,1,1,38,55,93
Moldova,Eurasia,PF,3,3,25,35,60
Slovenia,Europe,F,1,1,38,53,91
San Marino,Europe,F,1,1,38,59,97
Colombia,Americas,PF,3,3,29,36,65
Peru,Americas,F,2,3,31,42,73
St. Kitts and Nevis,Americas,F,1,1,36,53,89
Iceland,Europe,F,1,1,38,59,97
Andorra,Europe,F,1,1,38,55,93
Somaliland,Africa,PF,4,5,19,25,44
Qatar,Middle East,NF,6,5,10,18,28
Switzerland,Europe,F,1,1,39,57,96
Ecuador,Americas,PF,3,3,27,40,67
Australia,Asia,F,1,1,39,58,97
Japan,Asia,F,1,2,37,51,88
Botswana,Africa,F,3,2,28,44,72
Somalia,Africa,NF,7,7,1,6,7
Cabo Verde,Africa,F,1,1,37,53,90
Zambia,Africa,PF,4,4,22,32,54
Cote d'Ivoire,Africa,PF,5,5,13,21,34
Kosovo,Europe,PF,4,4,23,31,54
Maldives,Asia,PF,4,5,19,24,43
Yemen,Middle East,NF,6,6,9,16,25
Liechtenstein,Europe,F,2,1,33,57,90
Romania,Europe,F,2,2,35,48,83
