Country/Territory,Region,Status,PR rating,CL rating,PR,CL,Total
Tonga,Asia,F,2,2,30,49,79
Indian Kashmir,Asia,PF,4,4,22,29,51
Indonesia,Asia,PF,2,4,30,29,59
Austria,Europe,F,1,1,37,57,94
Liechtenstein,Europe,F,2,1,33,57,90
Finland,Europe,F,1,1,40,60,100
Panama,Americas,F,2,2,35,48,83
Palau,Asia,F,1,1,37,55,92
Albania,Europe,PF,3,3,28,39,67
Thailand,Asia,PF,4,4,22,32,54
New Zealand,Asia,F,1,1,40,59,99
Iraq,Middle East,NF,5,6,12,15,27
El Salvador,Americas,PF,2,4,30,33,63
South Africa,Africa,F,2,2,33,46,79
Finland,Europe,F,1,1,40,60,100
Benin,Africa,PF,4,2,21,45,66
Fiji,Asia,PF,3,3,24,36,60
Chad,Africa,NF,7,6,3,14,17
Lithuania,Europe,F,1,1,38,53,91
Togo,Africa,PF,5,4,16,28,44
Dominica,Americas,F,1,1,38,57,95
Spain,Europe,F,1,1,38,54,92
West Bank,Middle East,NF,7,5,4,21,25
France,Europe,F,1,2,38,52,90
Central African Republic,Africa,NF,7,7,1,6,7
Congo (Kinshasa),Africa,NF,7,6,5,15,20
Venezuela,Americas,NF,7,6,1,13,14
Northern Cyprus,Europe,F,2,2,32,48,80
United Arab Emirates,Middle East,NF,6,6,8,13,21
Lesotho,Africa,PF,3,3,27,36,63
Antigua and Barbuda,Americas,F,2,2,31,49,80
Angola,Africa,NF,6,5,10,18,28
Angola,Africa,NF,6,5,11,21,32
Norway,Europe,F,1,1,40,60,100
Burkina Faso,Africa,PF,6,3,9,36,45
Uruguay,Americas,F,1,1,40,58,98
Venezuela,Americas,PF,5,5,15,20,35
Jamaica,Americas,F,2,3,34,40,74
Georgia,Eurasia,PF,3,3,27,37,64
Greece,Europe,F,2,2,35,48,83
Madagascar,Africa,PF,3,3,26,35,61
Bolivia,Americas,PF,3,3,28,39,67
Myanmar,Asia,PF,5,5,13,17,30
Tanzania,Africa,PF,5,5,12,22,34
Spain,Europe,F,1,1,37,53,90
Bhutan,Asia,PF,3,4,29,30,59
Dominica,Americas,F,1,1,37,56,93
Pakistan,Asia,PF,4,5,20,22,42
Lesotho,Africa,F,2,3,31,41,72
Ukraine,Eurasia,PF,3,3,26,36,62
Pakistani Kashmir,Asia,NF,6,5,9,19,28
Finland,Europe,F,1,1,40,60,100
United Kingdom,Europe,F,1,1,40,57,97
Switzerland,Europe,F,1,1,39,57,96
Venezuela,Americas,NF,6,5,8,18,26
Slovakia,Europe,F,1,1,37,53,90
Bahamas,Americas,F,1,1,38,53,91
St. Lucia,Americas,F,1,1,38,54,92
Gaza Strip,Middle East,NF,7,6,3,9,12
Benin,Africa,F,2,2,32,47,79
Ghana,Africa,F,1,2,37,46,83
Latvia,Europe,F,1,2,37,52,89
Nagorno-Karabakh,Eurasia,PF,5,5,16,19,35
Thailand,Asia,NF,7,5,5,25,30
Rwanda,Africa,NF,6,5,9,17,26
Jordan,Middle East,PF,5,5,12,25,37
Iran,Middle East,NF,6,6,6,10,16
Barbados,Americas,F,1,1,38,57,95
Tajikistan,Eurasia,NF,6,6,8,16,24
Luxembourg,Europe,F,1,1,39,60,99
Tonga,Asia,F,2,2,31,44,75
Pakistan,Asia,PF,4,5,21,21,42
Russia,Eurasia,NF,7,6,5,15,20
Madagascar,Africa,PF,4,4,22,30,52
Latvia,Europe,F,2,2,34,51,85
Cuba,Americas,NF,7,6,1,13,14
Cuba,Americas,NF,7,6,1,13,14
United States,Americas,F,2,2,32,51,83
Costa Rica,Americas,F,1,1,37,53,90
Chad,Africa,NF,7,6,5,16,21
St. Lucia,Americas,F,1,1,39,53,92
Poland,Europe,F,1,1,38,55,93
Russia,Eurasia,NF,7,6,5,15,20
Sri Lanka,Asia,PF,4,4,23,33,56
Burundi,Africa,NF,7,6,4,14,18
Cote d'Ivoire,Africa,PF,5,4,17,29,46
Eswatini,Africa,NF,7,5,1,17,18
Switzerland,Europe,F,1,1,39,57,96
Samoa,Asia,F,2,2,30,51,81
Central African Republic,Africa,NF,7,7,0,6,6
Crimea,Eurasia,NF,7,6,-2,9,7
Togo,Africa,PF,4,4,18,29,47
Gabon,Africa,NF,7,5,3,19,22
Pakistan,Asia,PF,4,5,21,22,43
Liberia,Africa,PF,3,4,27,33,60
Montenegro,Europe,F,3,2,27,45,72
Zimbabwe,Africa,NF,6,5,10,20,30
Benin,Africa,F,2,2,33,49,82
Malawi,Africa,PF,3,3,29,37,66
Guinea,Africa,PF,5,5,17,24,41
Hong Kong,Asia,PF,5,3,16,39,55
Uruguay,Americas,F,1,1,39,58,97
New Zealand,Asia,F,1,1,40,58,98
Cote d'Ivoire,Africa,PF,4,4,19,32,51
Germany,Europe,F,1,1,39,57,96
Oman,Middle East,NF,6,5,8,17,25
Bulgaria,Europe,F,2,2,31,47,78
Monaco,Europe,F,2,1,31,56,87
Nigeria,Africa,PF,4,4,20,26,46
